Size,Entropy,Rank
Qwen2.5-0.5B,57.447887,0.4690396
Qwen2.5-0.5B,56.908226,0.52736604
Qwen2.5-7B,162.98985,1.0398691
Qwen2.5-7B,187.6084,0.7039366
Qwen2.5-7B,170.6748,0.7729501
Qwen2.5-7B,166.04024,0.87960875
Qwen2.5-7B,166.17303,0.91605514
Qwen2.5-7B,191.76552,0.74485475
Qwen2.5-7B,172.22331,0.7410075
Qwen2.5-7B,175.2725,0.95917785
Qwen2.5-7B,169.02211,0.9699017
Qwen2.5-7B,187.8616,0.7365673
Qwen2.5-7B,169.19502,0.7684609
Qwen2.5-7B,162.97293,0.9378531
Qwen2.5-7B,168.95746,0.9076688
Qwen2.5-7B,191.98154,0.75952435
Qwen2.5-7B,166.26517,0.7182993
Qwen2.5-7B,171.12952,1.0826762
Qwen2.5-7B,171.56726,0.8227531
Qwen2.5-7B,194.93811,0.76888216
Qwen2.5-7B,165.89738,0.7174223
Qwen2.5-7B,168.3144,1.0847639
Qwen2.5-7B,166.63757,0.8839494
Qwen2.5-7B,194.25298,0.7801325
Qwen2.5-7B,170.21056,0.7414504
Qwen2.5-7B,157.98839,1.1106446
Qwen2.5-7B,174.73376,0.7801622
Qwen2.5-7B,180.19373,0.8211741
Qwen2.5-7B,167.04308,0.7213256
Qwen2.5-7B,165.05579,1.2049105
Qwen2.5-7B,166.6708,0.7461732
Qwen2.5-7B,161.68108,0.8261509
Qwen2.5-7B,166.63417,0.715362
Qwen2.5-7B,158.21237,1.1579778
Qwen2.5-7B,163.3002,1.097948
Qwen2.5-7B,191.87276,0.7455867
Qwen2.5-7B,163.77898,0.82129616
Qwen2.5-7B,164.68222,0.9647061
Qwen2.5-7B,156.7974,1.1061479
Qwen2.5-7B,196.06836,0.7220645
Qwen2.5-7B,168.56326,0.8114384
Qwen2.5-7B,167.47897,0.839329
Qwen2.5-7B,166.12738,1.05398
Qwen2.5-7B,197.31564,0.7190801
Qwen2.5-7B,165.72266,0.7938698
Qwen2.5-7B,168.95404,0.88095033
Qwen2.5-7B,165.75278,0.9917821
Qwen2.5-7B,195.42497,0.7479702
Qwen2.5-7B,166.72514,0.77472675
Qwen2.5-7B,159.56706,0.9724624
